itemCollection_Mechs_Starting_Pirate_Medium,,,
mechdef_blackjack_BJ-1,Mech,1,3
mechdef_cicada_CDA-3C,Mech,1,3
mechdef_cicada_CDA-2A,Mech,1,3
mechdef_vindicator_VND-1AA,Mech,1,3
mechdef_clint_CLNT-2-3T,Mech,1,2
mechdef_shadowhawk_SHD-2D,Mech,1,2
mechdef_shadowhawk_SHD-1R,Mech,1,2
mechdef_wolverine_WVR-6D,Mech,1,2
mechdef_wolverine_WVR-1R,Mech,1,2
mechdef_griffin_GRF-1A,Mech,1,2
mechdef_banshee_BNC-3E,Mech,1,1
mechdef_corsair_COR-4R,Mech,1,1
mechdef_shadowhawk_SHD-2G,Mech,1,1
mechdef_chameleon_TRC-2P,Mech,1,3
mechdef_whitworth_WTH-0P,Mech,1,3
mechdef_whitworth_WTH-2P,Mech,1,1
mechdef_hyena_HYN-2P,Mech,1,3
mechdef_hazard_HZD-1P,Mech,1,3
mechdef_icarus_ICR-1P,Mech,1,3
mechdef_Sapfir_SP20,Mech,1,3
mechdef_corsair_COR-3P,Mech,1,3
mechdef_corsair_COR-3A,Mech,1,1
mechdef_nova_PA1,Mech,1,2
mechdef_Sapfir_SP25,Mech,1,1
mechdef_hazard_HZD-3J,Mech,1,1
mechdef_centurion_CN9-P,Mech,1,2
mechdef_hunchback_HBK-2P,Mech,1,3
